23
lion
20
20
101 101 101 101 101 101 101 101 101 101 2 2 2 2 2 102 102 103 103 104
1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 102 102 103 103 104
101 101 101 101 101 101 101 101 101 101 2 2 2 2 2 102 102 103 103 104
1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 102 102 103 103 104
101 101 101 101 101 101 101 101 101 101 2 2 2 2 2 102 102 103 103 104
1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 102 102 103 103 104
101 101 101 101 101 101 101 101 101 101 2 2 2 2 2 102 102 103 103 104
1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 102 102 103 103 104
101 101 101 101 101 101 101 101 101 101 2 2 2 2 2 102 102 103 103 104
1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 102 102 103 103 104
102 103 104 105 106 106 105 104 103 102 2 2 2 2 2 102 102 103 103 104
102 103 104 105 106 106 105 104 103 102 2 2 2 2 2 102 102 103 103 104
102 103 104 105 106 106 105 104 103 102 2 2 2 2 2 102 102 103 103 104
102 103 104 105 106 106 105 104 103 102 2 2 2 2 2 102 102 103 103 104
102 103 104 105 106 106 105 104 103 102 2 2 2 2 2 102 102 103 103 104
1 101 2 102 3 103 4 104 5 105 101 101 101 101 101 1 1 1 1 1
1 101 2 102 3 103 4 104 5 105 101 101 101 101 101 1 1 1 1 1
1 101 2 102 3 103 4 104 5 105 101 101 101 101 101 1 1 1 1 1
1 101 2 102 3 103 4 104 5 105 101 101 101 101 101 1 1 1 1 1
1 101 2 102 3 103 4 104 5 105 101 101 101 101 101 1 1 1 1 1

1
-1 0
-1 0
-1 0
-1 0
-1 0
-1 0
-1 0
-1 0
-1 0
-1 0
