3
01”ÇƒpƒYƒ‹
20 20
0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 1 106 106 106 106 8 1 0 0 0 0 0 
0 0 0 0 0 0 0 8 106 106 106 106 106 106 106 1 0 0 0 0 
0 0 0 0 0 1 8 106 106 106 106 106 106 106 106 8 0 0 0 0 
0 0 0 0 1 8 108 106 106 106 106 106 106 8 106 106 1 0 0 0 
0 0 0 0 8 108 108 106 106 106 106 106 1 1 106 106 1 0 0 0 
0 0 0 1 8 108 108 106 104 106 106 106 1 1 106 106 8 0 0 0 
0 1 1 1 8 108 106 108 104 106 1 1 7 1 106 106 8 1 0 0 
0 0 0 1 1 1 8 108 108 106 7 7 7 1 106 106 8 7 7 7 
7 7 1 7 1 1 1 8 8 106 1 7 1 8 8 8 1 7 7 7 
7 7 7 1 1 8 8 1 1 106 105 1 8 1 1 7 7 7 7 7 
7 7 7 1 8 8 1 1 1 1 1 105 8 1 7 7 7 7 7 7 
7 7 1 8 8 8 1 1 1 1 1 1 8 1 1 1 7 7 7 7 
7 7 8 108 108 8 7 0 1 1 1 1 1 1 1 1 1 1 1 1 
7 7 8 108 108 8 0 0 0 0 7 7 1 1 1 1 1 1 0 0 
7 7 1 108 108 8 7 0 0 7 1 7 7 1 8 1 1 1 0 0 
7 7 1 8 108 8 1 0 0 7 1 7 7 1 8 1 1 1 1 1 
7 7 7 1 1 1 1 7 7 1 1 1 7 8 8 1 1 1 1 0 
7 0 0 7 1 1 1 0 0 1 1 8 7 8 108 8 1 1 1 0 
7 1 1 1 1 1 1 1 0 0 1 1 1 108 108 1 1 8 8 1 
ƒ†ƒE
none 0 0
none 0 0
none 0 0
none 0 0
none 0 0
none 0 0
none 0 0
none 0 0
none 0 0
none 0 0
